username,tweet
@Girllssues, Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;&#128514;&#128514;&#128514;
@Gizzy_Jones94, Yall still going trick or treating this year or nah?hell yeah ima be da sweet tooth bandit steal bitches bags n shit
@Goofstroop, I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck
@Gotti_LTF, If she kiss u with her eyes open watch that bitch!lmfao
@HBMostDope, You a woulda coulda shoulda ass hoe &#128563;&#128586;
@HBMostDope, Happy Bday Bitch Ass Nigga @JetsAndASwisherpreciate that bitch roll up!
@HaloTGMG, @1Jayee @PipinHoes used to send that bitch up
@HeartlessFuck, Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;
@HermosaAlma," @1stName_Bravo nigga you know we hacky sack hoes. ...nah, I throw no look passes lmao"
@HiImJoriB, Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.
@HornyFacts, This isn't ghetto.....it's smart https
@HoskinsTy96, I would wife a hoe only cuz we wouldn't care that we cheating in each other. ...why force the relationship in the first place?
@Hudgens_11, Being single isn't an excuse to be a hoe. @TheOneMiss_Luu
@IScoutGirls, White boy power bitch black power bitch
@ItsYahBoiRay," Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes! Bro white dudes have no chill."
@Itsyesie, @verbally_abrupt bitch where u been Around the world and back. Where you been?
@JAYten9, @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514; *by @anelylove *
@JReebo, #oomf is soooo cute. But he probably has hoes on him a lot.
@JamesyNBA, In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http
@JasminePore, Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http
@Jewelxo, I wish I was a bitch like my brother keezy &#128530; ooooow I bet you do
@JoeBudden, If you dressed up as a cat for Halloween you are basic. ...or a pussy
@Johnny55Perez, Can pornhub just get a gaming stream feature so these dumb bitches can gtfo @Pornhub get on it Katie&lt;3
@KazAtta, stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it.. Says the guy who hits women out of bed. FOH
@KelsieBelsi, @white_thunduh ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig
@KeyshawnSwag," @1TAKEHOV Oh man.. its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
@KeyshawnSwag, You're not a man if you refer to every girl as a bitch
@KingCuh, Lmfao this cat started beating the shit out of me my nigga finally got some pussy?!? MY NIGGA!!!
@KingHendo95, Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line ooooow who tf said that trash!!?
@KingTeej_, @16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays..... haha
@King_Shawn_6, @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill Yeah I'm waiting on that hoe Mayne!
@KissMySmilee, Ol dirty foot ass bitches.. this was too funny to me.
@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!! This is still the early bird special. #ComeAtMeUT, @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524; HELL YEAH NIGGY
@KyraNadiya_, Don't got time for bitches to be actin iffy.
@LCisTJ, Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line ooooow who tf said that trash!!?
@LODYCASH, These hoes ain't loyal ; no they ain't http
@LUNAraps," Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU. BYE HOE!"
@LaFlareGodJosh, dry pussy bitches always blame it on the condom&#128514;&#128079;&#128514;&#128079;&#128514;
@Latrobemark, shut yo bitch ass up! https
@LeBronVuitton, Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back
@LiLFridayHOE, You love these hoes more then money wats wrong these niggas
@LifeAsBros, A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol
@Lightskingawdd," Easy cum, easy hoe That's a fact !"
@Lil_Mike_12, Charlie Sheen is too real http
@Linniekravitz, Wish I had a bae &#128533;
@Lipe_the_Great, Fuck twerking bitch can you cook ?
@LolaaIsDope, @WesGodLaFlare bitch wtf http
@Loveable_Aizah, A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol
@MLBNetwork, Lmao fucking snake bitches @ em
@M_Rad, Big booty hoes everywhere sheesh &#128525; damn &#127807;&#128064;&#127807;
@MadFlyentist, Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks @dliming35 #bum
@MannyDiesel, &#8220;@DezDLT
@MarkRoundtreeJr, Oregon chokes every year get off the field trash ass program RFT
@Master11_, Def not cowboy lol RT @ArtofFloyd
@MaxMayo77, LMFAOOOO I HATE BLACK PEOPLE https
@MaxMayo77, @20ToLife_ @GabrielaStarr How could u do this to me bitch potent
@MaxMayo77, http
@MegamindNick, http
@Mesha_nojas, http
@Migsmichelen, @white_thunduh nah fam I gotta cheat with the hoes depends on the female i feel
@Miikito_x3, @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588; I got hicks lol
@MikelaHenry, This new twitter is confusing the shit out of me. Go back to south america bitch
@MileyCyrus, Toto means ass or vagina?I think pussy cause toto santi is like nasty pussy
@Montrell_, but what if he actually does choose the ugly bitch over you? &#58381;Her ass must be fat!
@MotherJones, bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752; dis why i love miley 
@MvckFadden," I'm tired of bitches saying I look mean.. &#128530; nigga you big af, wear tight shirts, and grim everybody."
@NICKIMINAJ," 10 birds your grandkids may never see, thanks to climate change http"
@NastyCopper," Stay beautiful you bitch"""""
@NewsomeJade, #WutKinda
@Nicholas_ted33, Money getting taller and bitches getting blurry
@NoChillPaz, I ain't never seen a bitch so obsessed with they nigga&#128514; I'm obsessed with mine &#128529;
@No_FAKINGG, Kobe stay talking trash. But let's not forget http
@NotoriousBM95," At least I'm not a nigger"" http"
@OSAY_it_aint_so, People always asking me what I'm mixed with. She a bad asian bitch lol
@OfficialReplay, @_WhitePonyJr_ Ariza is a snake and a coward but at least he isn't a cripple like your hero Roach lmaoo
@PRAYINGFORHEAD, &#8220;@IgnoreAllLaws
@PRETTyBOSs_BRAt," I am lowkey tired. ...if you tired, be quiet and go to sleep hoe!"
@PatrickQuelo, &#8220;@macklemroe
@Patsfanjoe32, We don't love these hoes &#128080;&#128581;
@PoemsPorn, If yo girl cant have homeboys you a ol weak bitch ass nigga!
@Poetic_Success," @d_palomino52 I think worst advice I gave you was  don't be a pussy and speed up"" lol"""
@Poffalicious, Quote this tweet with your favorite animal.pussy
@Poobie_," I hate when strippers tell you they're dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
@ProdsJewel_, Andrewbryant
@QUAN1T0, When bitches TWERK on the computer....
@QUAN1T0, &#8220;@sreadthepeace
@Queen_Kaaat, 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.
@RTNBA, These bitches don't care they just play that role.
@RachieSoul," It took a while for you to find me, but I was hiding In the lime tree."
@RamBoutIt," Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http"
@ReachtheeCLIMAX, @DizzleOfficial inna di ghetto!!! You alone lmaoo
@RenegadeMo, &#8220;@Master11_
@RiahSM, bitches can't cook but know how to suck dick .. s/o to the ones that can do both!
@RishaaWilliams, Fat hoes get chose lol
@RnadJorell," #hoesaintloyal well they're hoes,no one expects them to be loyal"
@SacTownProdigy, @TRESHON_SCROOGE @_Nevertrustt ol bitch ass http
@SamJLayman , Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo
@Samirahusic_, Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls lol bitch fuck you
@SexualGxfs," Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory"
@Shaa_Jenkins," I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
@ShanTaughtHer, @ One of your followers with this &#128525;&#128553; http
@SheWentToJordan, If ya bitch always bitching clearly she care! Or just an annoying Bitch!
@ShowArrive, These catfish hoes thinkin they slick.. But niggas catching on &#128524;
@Shun_stokes, Can't worry about a bitch that ain't worried bout me #real
@Shun_stokes, Side hoes are for insecure niggas that can't handle a real one.
@SlimGirl_Probz, &#128514;&#128514;&#128514;&#128514;RT @bluprint_4
@SmeegBaby, My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;
@SnakecharmsDump, i'm hungry but ionn wanna spend my money on food&#128530;Broke hoe problems &#128514;&#128514;&#128514;&#128128;
@SportsCenter, Dese hoes be LYIN to all of us nigga
@SportsCenter, http
@StellaTex, Eli Manning just threw his NFL-leading 27th interception of the season. Lmao trash
@Stephenwildboy, USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http
@Strap__, Guess what? I also have zero time for your mansplaining! Adios! Stfu pussy
@SukMySweetness, Chilling &#128069;&#8482; http
@Sylvieamx, I ain't sharing no bitch if you mines you mines &#128175;
@TEE_JONEZ, money only impress the simple broke bitches
@TEE_JONEZ," #Pisces will never be anybody's bitch, they don't let people control or change them. Rigghhht"
@TayKnosBest, @16stanleys @KingCuh tuku ho idk blah blah blah &#128514;&#128514;&#128514;
@Taylorr_Babee, @KingCuh @16stanleys I'm not mad cuh hahaha suure.. tuku ho ita! &#128514;&#128514;
@ThatniggaTroy, These hoes is crazy
@TheGamerKingKev, You ain't ever gonna be a slice bitch. Kevin hart. (
@TheNewSAT," Oomf so fuckin fine tho &#128553; dam @ her, don't be no bitch."
@TheNymphoTweets, I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
@TheOneMiss_Luu, #NewSATQuestions
@TheRealRickyB21, Hickies in between her thighs right by her pussy &gt;&gt;&gt; Its only right
@TheRealRickyB21, Would you still love me when I'm no longer young and beautiful? No. Ugly monkey ass.
@The_Realist_Sam, @JetsAndASwisher @Gook____ y'all come through the front.bitch I ain't coming
@Theo17100, @JetsAndASwisher faggot bitch http
@TheoMaxximus," @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanketi work 2-5"
@TheoMaxximus, http
@Thornton25, #GerrysHalloweenParty http
@Tmacc_GFG," Chrus still supahot tho *walks up to teacher with test, drops test in that bitch fohead* http"
@Tmacc_GFG, &#8220;@KantKeepAhBYTCH
@Tmacc_GFG, &#8220;@VoiceOfDStreetz
@TreLeKidd, &#8220;@tizzimarie
@TweetGameLazy, BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck hell yea i play that hoe before my workout
@TyJonCuffee, Yo bitch is Gucci Mane RT @JabariTheGreat 
@UberFacts, I can ride your bitch with no handle bars
@UnHoly_Jack, And if you ain't a hoe get up out my traphoussseeeee
@Vbomb20, 15 sad TV character deaths we're still bitter over... http
@VeronikaHumbert," These harbor bitches are all Party Bus hoes"""" Lol all?"
@VineForTheByrd, @Woodchuck20 pussy love it
@WBUR," Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http"
@WBeezy_, On my way to fuck your bitch https
@WBeezy_," A smuggler explains how he helped fighters along the Jihadi Highway"""
@WannabeKanye, @QuaTheGreat
@WitHaPrettyface, @Run_DRC
@X_XPDOTJDOT, whys this bitch boosting herself http
@XoJennyGirl, @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298; &#128514;&#128514; Kim bye!!!
@XoXo__Angiee, Damn near gotta protect my tweets.. stalkers being annoying you got that dope dick. Drive these bitches loco
@YEHits_Von, I'm making marack my girlfriend . @marackaf aye b you pullin hoes just like o taught you
@Yankees, Bruno fag boy you love me.
@YoungRicooo, &#8220;@Run_DRC
@YoungRicooo," Down 6-1, #Yankees look to rally in the bottom of the 9th. #RALLYCAP"
@YoungRicooo, &#8220;@WexicanAfro702
@YunGMiGo, Happy birthday bitch nigga @WexicanAfro702 Thanks pal
@ZoeBarton3, Sad knowing that most hoes won't fuck with you bc you ain't got stacks. wait till friday
@_BaDa_Bing, @Shane_A1 cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
@_BeeDontCare My pussy still fresh &lt;----- something stank girls say., @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs&#128563;&#128563;&#128563;&#128563;&#128563;
@_GeeWillikers_, I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake..
@_TommyCollins,
@__MALIBUbarbie, Ass slapping is one the greatest things. Haha. &#128527; I slapped a girl on the ass. . She got mad I aint get pussy for a week
@__Sugga, @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard I see that you're mad about this.
@__sneakyb, Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE! ..looking like black&amp;milds out here
@__taradise__, There's a lane some bitches need to stay in &#128526; the left n get right the fuck outta our face &#128557;&#128129;&#128536;
@__youreWelcome, I hate when boys deny that they have bitches &#128080;&#128553; smh
@_iwantfranny, Ya nigs out there still saying y'all don't eat butt?! WITH A STRAIGHT FACE!
@_prettyflvck0, Im a boss ass bitch ...that needs to sit in a corner
@_rapdreams," He's a hoe , I can't"
@_simplycaitlin, Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;oooh shit bitches betta stay out da streets
@adriwadrri, bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;
@airmaxlad1, why do my friends hate me because you a ratchet hoe..
@airmaxlad1, No love for these fuck niggas hoes*
@alejandra_p13, Hot meat http
@alexissixela__, Sniff http
@allisonnamaya_, These bitches love Sosa
@altosteel115, &#8220;@white_thunduh
@ambitiousBree," What should I name my cat, ideas? Mr pussy"
@analicialouise, http
@angelenagoley, @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542; when you married bitches makes demands!!!! You haven't called me
@ashlingwilde, Tevin is my favorite sophomore I think he's so funny Hes really not. Lmaoo hes a little hoe
@ayyee_ceee_, 10 sex positions http
@babineaux_," @ItsNotAdam is bored supposed to be cute, you faggot? Sometimes"
@bigbootybishopp, One mans trash &#128686; is another mans treasure &#127942;
@bleedingtrap, I don't got no type. Bad bitches is the only thing I like *Iongotnotype
@cheetahBluntz_," @white_thunduh lassen cc , the coach wants me i feel it youll get more my nig no doubt"
@chieflottahoes," god teeth , gold chain"
@clayton_jenn99," Its me hoe, its me hoe&#128129; shhhhh"
@coltforty2Gone," In D.C., we call them rollers, in Chiraq we call them thots. All across America they have been known as a hoe."
@complex_uk, I'm gonna miss that bitch of a bus driver...no you won't. Don't lie
@datFullerkid, hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293; ON. MY. SOUL!
@deepthroatMike, Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http
@demi_eggleton, @TreVaughnLG yall both gimped up?? Ain't tht a bitch huh lol
@djsliime, @Boys_South
@fIirting, oh my god I love Victoria Mitchell all my bitches love me
@fatboyswagg347, That long distance shit wack I knew the bitch was cheating- uh oh
@fuckcamoclark, HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http
@g0rillaz0e, they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine
@glowstruck," Roses are red and violets are blue and niggers are black, you know that's true. @dylan72892"
@greggutfeld," Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals @peta"
@gurl_Im_Angie," But a nigga gon be a nigga, be a nigga. You sound fuckin retarded"
@haitian__goLd, a video an entire media will likely mock. http
@hazelebaby, @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu kikis mom
@hornyjhb, Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh. &#128514;&#128514;&#128514;&#128514;
@hxhassan, Karma is a bitch #Damn #GodProtectsHisAngels &#128588;
@iAMPickUpLines, Fuckin hot gym pussy http
@iCrawley, Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https
@iDntWearCondoms, You can call me Fireman cause I turn the hoes on.
@iLGDaily, I could never have a bby by a lil dick Thts y I got a abortion by the last bitch- oh My God
@iTrapWatermelon, Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that
@irlfatty," And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come are you retarded?"
@itscoleharmon_, tweety bird tho &#128514;&#128514;&#128514;&#128514;https
@jSadass, my pussy sweet like watermelon http
@jacaxeltlu, When twitter rappers dm me their trash links http
@jaimescudi_, loud bitches annoy me
@jama_jam, Eventually every bitch turns into that hoe. # Truuu
@jasmyncyniquee, @Tonybthrz_
@jayswaggkillah, You bitches be pretending to be TF crazy.. You ain't never lied...
@jboii2, @white_thunduh k bye hoe um bye ..
@jethromass, Jackies a retard #blondeproblems At least I can make a grilled cheese!
@jgabsss, ima keep on giving these pussy ass niggas ah reason to hate !
@juicyyyjayyyy, Photo
@k_eazy26, Stacey Dash won &#128166; http
@kayreneeee_, Side bitch Sunday &#128514;&#128514;&#128514; &#128514;&#128514;&#128514;
@kazooook, Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; http
@kikiSTFU, Fuck wit us and then we tweakin hoe shmurda!
@leikant, We actin like it's the 7th day @WesGodLaFlare http
@likemicah, I'll break that lil bitch neck and won't even feel sorry about it Savage
@lildurk_, This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http
@lildurk_," Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck ...weed over hoes, oreos too."
@marackaf, I can turn yo bitch into a eaterrrrrrrrr
@maybe6789, I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP we finna come to Chiraq and shoot sumn
@metroadlib, &#8220;@white_thunduh
@michelle_westt, Now u got what u want bitch ! Enjoy it http
@midyWIDEY_, colored contacts in your eyes?
@molssyo, Facts @POONsoaker
@molssyo, I'm rea start smacking bitches period ! Bluffin at its best
@morgandaylee," Lifes a bitch, and then you die "
@nohands_24," One of us is on drugs, and its me but you're still wrong &#128514; @currieburry hahahahahahah im a bitch sometimes ("
@obey_jrock__, I'm feeling pretty fuckin ghetto Smh
@oldpicsarchive, @20ToLife_
@ortiz_jaylene, This is a true ride or die bitch &#128175; http
@ozzie_garza, H.G.Wells and Charlie Chaplin http
@ozzie_garza, All I see is Bruno's bitch ass on my twitter now. wtf Bruno's all that she sees (Drake voice)
@poppunksucks, @white_thunduh I'm about to cool faggot chill tf is cool nigga
@queendulaaa, @white_thunduh I'm so sure bitch frfr tf
@realFORTES," Twitter is not a source of news broadcast you fucking retards it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
@rhythmixx_, Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#128526;&#128076; AND I'M LIKE... #WWYD
@riananewman, Grudges are for weirdosand bitches
@roLLYuP23, I told Mariam to but cigarettes for her birthday
@ronald_iongi, @22EdHam brownies tonight what kind?!?!
@royalswagg_," No text back? I don't give a fuck, I'll text another bitch damn someone is hurt lol"
@rugbysocklad, Ummmmmm okay http
@rugbysocklad, using y=mx+b to find the slope of that ass
@rugbysocklad, Fit lads! Nice gear! http
@rugbysocklad, Hell yeah bro! http
@savage_twotone, Helping out a mate!! http
@scallynikelad, Lads being Lads! http
@sierrabernia, Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;
@sleepy_yongguk, &#8220;@sleazytwinks
@sniffsockslad, &#8220;@T2G_CincoKilby
@snoleezey801," I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo"
@socass_, Need these sox http
@socass_, I don't ever expose females like that.. That's childish.. bitch nigga shiiii.....
@soxandjox, @00sexilexi00
@soxdawg, Dude remember this wop video? @00sexilexi00 http
@splurgb_, Thick raw fuck http
@stephencdo, RAWR!! RT @skinrubberboi
@talibanshawtyy, Nothin in life is free.. Some of you bitches need to write that on ya panties&#128557;&#128514;
@theaveragerocks, @currieburry if one of you bitches want some of my burrito u can catch me at potosino huh? Haha
@thebravebird, Niggas whole hoes out here cuz Couldn't had said it better..&#128588;
@thejudyann, Hardcore way to eat Mac and cheese
@thotmouths, #YoureNotMyType if my fade is perpetually fresher than yours. That's a real ass bitch rite there
@trestiffer, annoying bitch that I love http
@trutherbot, http
@whoiscoreyking, Hi bitch 
@whooligan__, does he look like a bitch? @el_capacitor
@wiganzlad, Chase money &#128176; not &#128581; hoes &#128111; &#128175;&#128175;&#58399;&#58399;&#58399;&#58399;
@witmyRUDEass," can't stand a I don't know what I want"" ass nigga &#128564;"" bitch*"
@witmyRUDEass, @MarkyCrumb
@wodaeeex3, These newly gay bitches don't kno how shit works
@wodaeeex3, When a bitch don't want a real job they just become strippers lol lol.
@worldtraveIs, Awww Meat Meat In His Feelinsi ainn n my feelings bitch
@worldwarzee_," I Want Snake Bites , MY Industrial Piercin &amp; A TattooDem hoe accessories dea &#128064;&#128064;&#128056;&#9749;"
@xoxoclauudia, Baby albino &#128034; http
@z0mbiedance, these hoes ain't loyal.
  @0ddtoddler," YASSSSSS, ORDERED CHINESE &#128079; bitch you just ate tacos you fat fuck"
  @1_anddone, I made that bitch lunch. @elizabethbatman Bitches love lunch.
  @1muneyy,And bitch you must be lost &#128514;&#128514;
  @21Cvasquez,Baby I like being on your left side no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do
  @239rell,Bae sounds like such a ghetto word. Use something else
  @2Blunts1Jorge,"Batter the wee cunt Jewis y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
  @2hood2bgud,Bleed out hoe!!! -Alexa
  @305MAYOR,Boolin' in the bando wit a few bitches
  @44BINKO,Brownies for my brownie I love this movie. &#128517;
