name,tweet
" Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her","""@BlackNerdJade"
" @WhaleLookyHere @HowdyDowdy11 queer"" gaywad","""@Blackman38Tide"
" @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol","""@BrokenPiecesmsc"
 This bitch was so ungrateful http,"""@BrosConfessions"
" I been kidnapped yo bitch""","""@CASHandBOOBIES"
" @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican","""@CB_Baby24"
" @AydanMcCoy happy birthday nigs"" Thanks yo","""@CCobey"
 when ur teacher tells u that u have homework https,"""@CHlLDHOODRUINER"
" ""@22EdHam","""@CaelanG15"
" What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""","""@CanIFuckOrNah"
" Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig","""@CarelessOne92"
" Going back to school sucks more dick than the hoes who attend it.""","""@CauseWereGuys"
 On my way to fuck yo bitch http,"""@CauseWereGuys"
" @white_thunduh how come you never bring me food"" i dont have a car retard","""@CeleyNichole"
" If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople","""@ChadMFVerbeck"
" How bout them Cowboys!!!!"" Shutup pussy","""@ChandlerParsons"
 LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http,"""@ClicquotSuave"
" @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz","""@Coley_Cee"
" Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again","""@Coley_Cee"
" Harlem shake is just an excuse to go full retard for 30 seconds.""","""@ComedyPosts"
 amen miley &#128591; http,"""@ComedyTruth"
" having one loyal female is wayyyyy better than having hoes , idc &#128175;""","""@CoryBandz"
 Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https,"""@Crhedrys"
" Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands","""@DBAB_Holloway"
" What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch","""@DGotBricks"
" @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow","""@DaeDaviDavie"
" @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http","""@DevilGrimz"
" The fuck be wrong with these bitches?"" Nobody knows","""@DiamondLoudKush"
 Yall shut up,"""@Dietrich1892"
" I hate a ""I'm pregnant"" type of bitch.""","""@DionaIrish"
" Got bitches in the DM but I don't ever read'em"" which is y your top 3","""@DoYou_Q"
" Baseball season for the win. #Yankees"" This is where the love started","""@DomWorldPeace"
" Little stupid as bitch I don't fuck with yoooooouuuu..""","""@Dommoneek"
" she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL","""@DreadheadAri"
" I'm an early bird and I'm a night owl, so I'm wise and have worms.""","""@DunderbaIl"
" Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.","""@EdgarPixar"
 Pit Bulls Photographed As Lovely Fairy Tale Creatures http,"""@El_Grillo1"
" @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol","""@Ferocious_Ghost"
" As long as the Lakers trash from now on, I could careless. And that's real."". CC","""@FloKid88"
" @h0rheyd I didn't say anything tho"" kiss me then faggot","""@Frosstyy_"
" this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http","""@FunnyPicsDepot"
" I could go for a fat ass bitch on my lap"" same","""@G27Status"
" 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle","""@GEDMelle"
" Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;","""@GTM_Al"
 &#8220;@MaleFoot,"""@GagaTom1"
" These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh","""@GirlThatsVonte"
" Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;","""@GirlThatsVonte"
" Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit","""@GirlThatsVonte"
" I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck","""@Girllssues"
" If she kiss u with her eyes open watch that bitch!""lmfao","""@Gizzy_Jones94"
" You a woulda coulda shoulda ass hoe &#128563;&#128586;""","""@Goofstroop"
" Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!","""@Gotti_LTF"
" @1Jayee @PipinHoes used to send that bitch up""","""@HBMostDope"
" Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""","""@HBMostDope"
" @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao","""@HaloTGMG"
" Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""","""@HeartlessFuck"
 This isn't ghetto.....it's smart https,"""@HermosaAlma"
" I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?","""@HiImJoriB"
" Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu","""@HornyFacts"
" White boy power bitch"" black power bitch","""@HoskinsTy96"
" Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.","""@Hudgens_11"
" @verbally_abrupt bitch where u been"" Around the world and back. Where you been?","""@IScoutGirls"
" @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *","""@ItsYahBoiRay"
" #oomf is soooo cute. But he probably has hoes on him a lot.""","""@Itsyesie"
 In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http,"""@JAYten9"
 Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http,"""@JReebo"
" I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do","""@JamesyNBA"
" If you dressed up as a cat for Halloween you are basic."" ...or a pussy","""@JasminePore"
" Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3","""@Jewelxo"
" stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH","""@JoeBudden"
" @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig","""@Johnny55Perez"
" @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed","""@KazAtta"
" You're not a man if you refer to every girl as a bitch""","""@KelsieBelsi"
" Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!","""@KeyshawnSwag"
" Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?","""@KeyshawnSwag"
" @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha","""@KingCuh"
" @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!","""@KingHendo95"
" Ol dirty foot ass bitches.."" this was too funny to me.","""@KingTeej_"
" @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY","""@King_Shawn_6"
" Don't got time for bitches to be actin iffy.""","""@KissMySmilee"
 These hoes ain't loyal ; no they ain't http,"""@KyraNadiya_"
" Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!","""@LCisTJ"
" dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;","""@LODYCASH"
 shut yo bitch ass up! https,"""@LUNAraps"
" Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""","""@LaFlareGodJosh"
" You love these hoes more then money wats wrong these niggas""","""@Latrobemark"
" A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol","""@LeBronVuitton"
" Easy cum, easy hoe"" That's a fact !","""@LiLFridayHOE"
 Charlie Sheen is too real http,"""@LifeAsBros"
" Wish I had a bae &#128533;""

You got all the hoes tho","""@Lightskingawdd"
" Fuck twerking bitch can you cook ?""","""@Lil_Mike_12"
" @WesGodLaFlare bitch wtf"" http","""@Linniekravitz"
 &#8220;@h0rheyd,"""@Lipe_the_Great"
" Lmao fucking snake bitches"" @ em","""@LolaaIsDope"
" Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;","""@Loveable_Aizah"
" Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum","""@MLBNetwork"
 &#8220;@DezDLT,"""@M_Rad"
" Oregon chokes every year get off the field trash ass program"" RFT","""@MadFlyentist"
 Def not cowboy lol RT @ArtofFloyd,"""@MannyDiesel"
 LMFAOOOO I HATE BLACK PEOPLE https,"""@MarkRoundtreeJr"
" @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent","""@Master11_"
 http,"""@MaxMayo77"
 http,"""@MaxMayo77"
 http,"""@MaxMayo77"
" @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel","""@MegamindNick"
" @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol","""@Mesha_nojas"
" This new twitter is confusing the shit out of me."" Go back to south america bitch","""@Migsmichelen"
" Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy","""@Miikito_x3"
" but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!","""@MikelaHenry"
" bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley ","""@MileyCyrus"
" I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.","""@Montrell_"
" 10 birds your grandkids may never see, thanks to climate change http","""@MotherJones"
" ""Stay beautiful you bitch""""","""@MvckFadden"
" #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls","""@NICKIMINAJ"
" Money getting taller and bitches getting blurry""","""@NastyCopper"
" I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;","""@NewsomeJade"
 Kobe stay talking trash. But let's not forget http,"""@Nicholas_ted33"
" ""At least I'm not a nigger"" http","""@NoChillPaz"
" People always asking me what I'm mixed with."" She a bad asian bitch lol","""@No_FAKINGG"
" @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo","""@NotoriousBM95"
 &#8220;@IgnoreAllLaws,"""@OSAY_it_aint_so"
" I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!","""@OfficialReplay"
 &#8220;@macklemroe,"""@PRAYINGFORHEAD"
" We don't love these hoes &#128080;&#128581;""","""@PRETTyBOSs_BRAt"
" If yo girl cant have homeboys you a ol weak bitch ass nigga!""","""@PatrickQuelo"
" @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""","""@Patsfanjoe32"
" Quote this tweet with your favorite animal.""pussy","""@PoemsPorn"
" I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""","""@Poetic_Success"
 Andrewbryant,"""@Poffalicious"
" When bitches TWERK on the computer....

ME","""@Poobie_"
 &#8220;@sreadthepeace,"""@ProdsJewel_"
" 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""","""@QUAN1T0"
" These bitches don't care they just play that role.""","""@QUAN1T0"
" It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.","""@Queen_Kaaat"
" Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http","""@RTNBA"
" @DizzleOfficial inna di ghetto!!!"" You alone lmaoo","""@RachieSoul"
 &#8220;@Master11_,"""@RamBoutIt"
" bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!","""@ReachtheeCLIMAX"
" Fat hoes get chose"" lol","""@RenegadeMo"
" #hoesaintloyal"" well they're hoes,no one expects them to be loyal","""@RiahSM"
" @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http","""@RishaaWilliams"
" Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo","""@RnadJorell"
" Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you","""@SacTownProdigy"
" Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me","""@SamJLayman "
" ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot","""@Samirahusic_"
 @ One of your followers with this &#128525;&#128553; http,"""@SexualGxfs"
" If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!","""@Shaa_Jenkins"
" These catfish hoes thinkin they slick.. But niggas catching on &#128524;""","""@ShanTaughtHer"
" Can't worry about a bitch that ain't worried bout me"" #real","""@SheWentToJordan"
" Side hoes are for insecure niggas that can't handle a real one.""","""@ShowArrive"
 &#128514;&#128514;&#128514;&#128514;RT @bluprint_4,"""@Shun_stokes"
" My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""","""@Shun_stokes"
" i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;","""@SlimGirl_Probz"
" Dese hoes be LYIN to all of us nigga""","""@SmeegBaby"
 http,"""@SnakecharmsDump"
" Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash","""@SportsCenter"
 USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http,"""@SportsCenter"
" Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy","""@StellaTex"
 Chilling &#128069;&#8482; http,"""@Stephenwildboy"
" I ain't sharing no bitch if you mines you mines &#128175;""","""@Strap__"
" money only impress the simple broke bitches""","""@SukMySweetness"
" #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht","""@Sylvieamx"
" @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;","""@TEE_JONEZ"
" @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;","""@TEE_JONEZ"
" These hoes is crazy""","""@TayKnosBest"
" You ain't ever gonna be a slice bitch."" Kevin hart. (","""@Taylorr_Babee"
" Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.","""@ThatniggaTroy"
" I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags","""@TheGamerKingKev"
" #NewSATQuestions
Yeah bitch, yeah bitch, call me _______","""@TheNewSAT"
" Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right","""@TheNymphoTweets"
" Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.","""@TheOneMiss_Luu"
" @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming","""@TheRealRickyB21"
" @JetsAndASwisher faggot bitch"" http","""@TheRealRickyB21"
" @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5","""@The_Realist_Sam"
 http,"""@Theo17100"
 #GerrysHalloweenParty http,"""@TheoMaxximus"
" Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http","""@TheoMaxximus"
 &#8220;@KantKeepAhBYTCH,"""@Thornton25"
 &#8220;@VoiceOfDStreetz,"""@Tmacc_GFG"
 &#8220;@tizzimarie,"""@Tmacc_GFG"
" BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout","""@Tmacc_GFG"
 Yo bitch is Gucci Mane RT @JabariTheGreat ,"""@TreLeKidd"
" I can ride your bitch with no handle bars""","""@TweetGameLazy"
" And if you ain't a hoe get up out my traphoussseeeee""","""@TyJonCuffee"
 15 sad TV character deaths we're still bitter over... http,"""@UberFacts"
" These harbor bitches are all ""Party Bus hoes"""" Lol all?","""@UnHoly_Jack"
" @Woodchuck20 pussy"" love it","""@Vbomb20"
" Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http","""@VeronikaHumbert"
 On my way to fuck your bitch https,"""@VineForTheByrd"
" A smuggler explains how he helped fighters along the ""Jihadi Highway""","""@WBUR"
" ""@QuaTheGreat","""@WBeezy_"
" ""@Run_DRC","""@WBeezy_"
 whys this bitch boosting herself http,"""@WannabeKanye"
" @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!","""@WitHaPrettyface"
" Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco","""@X_XPDOTJDOT"
" I'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught you","""@XoJennyGirl"
" Bruno fag boy"" you love me.","""@XoXo__Angiee"
 &#8220;@Run_DRC,"""@YEHits_Von"
" Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP","""@Yankees"
 &#8220;@WexicanAfro702,"""@YoungRicooo"
" Happy birthday bitch nigga @WexicanAfro702"" Thanks pal","""@YoungRicooo"
" Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday","""@YoungRicooo"
" @Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca","""@YunGMiGo"
" @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;","""@ZoeBarton3"
" I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..","""@_BaDa_Bing"
" Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week","""@_GeeWillikers_"
" @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this.","""@_TommyCollins"
" Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here","""@__MALIBUbarbie"
" There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;","""@__Sugga"
" I hate when boys deny that they have bitches &#128080;&#128553;"" smh","""@__sneakyb"
" Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!","""@__taradise__"
" Im a boss ass bitch"" ...that needs to sit in a corner","""@__youreWelcome"
" He's a hoe , I can't""","""@_iwantfranny"
" Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets","""@_prettyflvck0"
" bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""","""@_rapdreams"
" why do my friends hate me"" because you a ratchet hoe..","""@_simplycaitlin"
" No love for these fuck niggas"" hoes*","""@adriwadrri"
 Hot meat http,"""@airmaxlad1"
 Sniff http,"""@airmaxlad1"
" These bitches love Sosa""","""@alejandra_p13"
 &#8220;@white_thunduh,"""@alexissixela__"
" What should I name my cat, ideas?"" Mr pussy","""@allisonnamaya_"
 http,"""@altosteel115"
" @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me","""@ambitiousBree"
" Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe","""@analicialouise"
 10 sex positions http,"""@angelenagoley"
" @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes","""@ashlingwilde"
" One mans trash &#128686; is another mans treasure &#127942;""","""@ayyee_ceee_"
" I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype","""@babineaux_"
" @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt","""@bigbootybishopp"
" god teeth , gold chain
white bitches , cocaine""","""@bleedingtrap"
" Its me hoe, its me hoe&#128129;"" shhhhh","""@cheetahBluntz_"
" In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.","""@chieflottahoes"
" I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie","""@clayton_jenn99"
" hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!","""@coltforty2Gone"
 Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http,"""@complex_uk"
" @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol","""@datFullerkid"
" ""@Boys_South","""@deepthroatMike"
" oh my god I love Victoria Mitchell"" all my bitches love me","""@demi_eggleton"
" That long distance shit wack I knew the bitch was cheating""- uh oh","""@djsliime"
 HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http,"""@fIirting"
" they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""","""@fatboyswagg347"
" Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892","""@fuckcamoclark"
" Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta","""@g0rillaz0e"
" But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded","""@glowstruck"
 a video an entire media will likely mock. http,"""@greggutfeld"
" @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom","""@gurl_Im_Angie"
" Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;","""@haitian__goLd"
" Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""

*sips tea*","""@hazelebaby"
 Fuckin hot gym pussy http,"""@hornyjhb"
 Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https,"""@hxhassan"
" You can call me Fireman cause I turn the hoes on.""","""@iAMPickUpLines"
" I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God","""@iCrawley"
" Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that","""@iDntWearCondoms"
" And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?","""@iLGDaily"
 tweety bird tho &#128514;&#128514;&#128514;&#128514;https,"""@iTrapWatermelon"
 my pussy sweet like watermelon http,"""@irlfatty"
 When twitter rappers dm me their trash links http,"""@itscoleharmon_"
" loud bitches annoy me""","""@jSadass"
" Eventually every bitch turns into that hoe."" # Truuu","""@jacaxeltlu"
" ""@Tonybthrz_","""@jaimescudi_"
" You bitches be pretending to be TF crazy.."" You ain't never lied...","""@jama_jam"
" @white_thunduh k bye hoe"" um bye ..","""@jasmyncyniquee"
" Jackies a retard #blondeproblems"" At least I can make a grilled cheese!","""@jayswaggkillah"
" ima keep on giving these pussy ass niggas ah reason to hate !""","""@jboii2"
 Photo,"""@jethromass"
 Stacey Dash won &#128166; http,"""@jgabsss"
" Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;","""@juicyyyjayyyy"
 Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; http,"""@k_eazy26"
" Fuck wit us and then we tweakin hoe"" shmurda!","""@kayreneeee_"
 We actin like it's the 7th day @WesGodLaFlare http,"""@kazooook"
" I'll break that lil bitch neck and won't even feel sorry about it"" Savage","""@kikiSTFU"
 This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http,"""@leikant"
" Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.","""@likemicah"
" I can turn yo bitch into a eaterrrrrrrrr""","""@lildurk_"
" I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn","""@lildurk_"
 &#8220;@white_thunduh,"""@marackaf"
 Now u got what u want bitch ! Enjoy it http,"""@maybe6789"
" colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao","""@metroadlib"
" Facts ""@POONsoaker","""@michelle_westt"
